120;Strawberry - San Francisco;[9426038, 9426073, 9426039, 9426040, 9426074, 9426041, 9425505, 9427571, 9426075, 9425533, 9427599, 9426042, 9426076, 9427572, 9426043, 9425506, 9427600, 9426077, 9425534, 9426044, 9426078, 9425535, 9427601, 9426045, 9427573, 9425507, 9426079, 9425536, 9427602, 9426046, 9425508, 9427574, 9426080, 9425537, 9427603, 9426047, 9425509, 9427575, 9425538, 9426081, 9427604, 9427576, 9425510, 9426048, 9426082, 9427605, 9425539, 9427577, 9425511, 9426049, 9426083, 9427606, 9425540, 9427578, 9425512, 9426050, 9426084, 9427607, 9425541, 9427579, 9425513, 9426051, 9426085, 9427608, 9425542, 9427580, 9425514, 9426052, 9426086, 9427609, 9425543, 9427581, 9425515, 9426053, 9426087, 9427610, 9425544, 9425516, 9427582, 9426054, 9426088, 9425545, 9427611, 9425517, 9427583, 9426055, 9426089, 9425546, 9427612, 9426056, 9427584, 9425518, 9426090, 9425547, 9427613, 9426057, 9425519, 9427585, 9426091, 9425548, 9427614, 9426058, 9425520, 9427586, 9425549, 9427615, 9426092, 9426059, 9425521, 9427587, 9427616, 9425550, 9426093, 9426060, 9425522, 9427588, 9426094, 9427617, 9425551, 9426061, 9425523, 9427589, 9426095, 9427618, 9425552, 9426062, 9427590, 9425524, 9426096, 9427619, 9425553, 9426063, 9427591, 9425525, 9426097, 9427620, 9425554, 9425526, 9426064, 9427592, 9426098, 9427621, 9425555, 9425527, 9426065, 9427593, 9426099, 9426100, 9426066, 9427622, 9425556, 9426101, 9426067, 9427594, 9425528, 9426102, 9426068, 9425557, 9427623, 9426103, 9426069, 9425529, 9427595, 9426104, 9427624, 9425558, 9426070, 9427596, 9425530, 9426105, 9427625, 9425559, 9426071, 9425531, 9427597, 9426106, 9427626, 9425560, 9426072, 9427598, 9425532];[05:14, 05:38, 05:39, 06:06, 06:08, 06:35, 06:37, 06:37, 06:38, 06:38, 06:38, 07:04, 07:08, 07:34, 07:34, 07:34, 07:38, 07:38, 07:38, 08:02, 08:08, 08:08, 08:08, 08:32, 08:34, 08:34, 08:38, 08:38, 08:38, 09:02, 09:03, 09:03, 09:08, 09:08, 09:08, 09:32, 09:33, 09:33, 09:38, 09:38, 09:38, 10:01, 10:01, 10:03, 10:06, 10:08, 10:08, 10:27, 10:27, 10:33, 10:36, 10:38, 10:38, 10:56, 10:56, 11:03, 11:06, 11:08, 11:08, 11:26, 11:26, 11:33, 11:36, 11:38, 11:38, 11:55, 11:55, 12:02, 12:06, 12:08, 12:08, 12:24, 12:24, 12:31, 12:36, 12:38, 12:38, 12:55, 12:55, 12:59, 13:06, 13:08, 13:08, 13:25, 13:25, 13:26, 13:36, 13:38, 13:38, 13:47, 13:55, 13:55, 14:06, 14:08, 14:08, 14:17, 14:25, 14:25, 14:36, 14:38, 14:38, 14:53, 14:55, 14:55, 15:08, 15:08, 15:09, 15:23, 15:26, 15:26, 15:38, 15:38, 15:39, 15:53, 15:56, 15:56, 16:06, 16:08, 16:08, 16:21, 16:26, 16:26, 16:36, 16:38, 16:38, 16:55, 16:58, 16:58, 17:06, 17:08, 17:08, 17:26, 17:30, 17:30, 17:36, 17:38, 17:38, 18:02, 18:02, 18:02, 18:06, 18:08, 18:08, 18:33, 18:33, 18:33, 18:36, 19:06, 19:07, 19:08, 19:08, 19:36, 19:37, 19:38, 19:38, 20:06, 20:07, 20:08, 20:08, 20:36, 20:37, 20:39, 20:39, 21:06, 21:08, 21:08, 21:38, 21:39, 21:39, 22:06, 22:08, 22:08, 22:38, 22:39, 22:39, 23:06, 23:08, 23:08, 23:38, 23:39, 23:39];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [6], [0, 1, 2, 3, 4], [5], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6]]
164;Petaluma - San Francisco;[];[];[]
580;Del Norte BART Station - San Rafael;[9426445, 9426447, 9426444, 9426448, 9427448, 9425382, 9426449, 9426435, 9427433, 9425367, 9426450, 9425397, 9427463, 9425383, 9427449, 9427434, 9426451, 9425368, 9426469, 9426442, 9425384, 9427450, 9427435, 9426452, 9425369, 9425385, 9427451, 9426434, 9425370, 9426453, 9427436, 9425386, 9427452, 9426429, 9427437, 9425371, 9426454, 9425387, 9427453, 9426438, 9426455, 9427438, 9425372, 9427454, 9425388, 9426446, 9426456, 9427439, 9425373, 9427455, 9425389, 9426433, 9425374, 9426457, 9427440, 9426458, 9426441, 9427456, 9425390, 9427441, 9426459, 9425375, 9426439, 9426460, 9426431, 9425391, 9427457, 9427442, 9426461, 9425376, 9426440, 9426462, 9426432, 9425392, 9427458, 9426463, 9425377, 9427443, 9426470, 9426464, 9427459, 9425393, 9426428, 9425378, 9427444, 9426465, 9426436, 9425394, 9426430, 9427460, 9425379, 9427445, 9426466, 9426437, 9425395, 9427461, 9425380, 9427446, 9426467, 9427462, 9426443, 9425396, 9427447, 9425381, 9426468, 9427464, 9425398, 9426471];[05:44, 06:15, 06:35, 06:45, 06:47, 06:47, 07:15, 07:29, 07:30, 07:30, 07:45, 07:45, 07:45, 08:15, 08:15, 08:30, 08:30, 08:30, 08:37, 09:13, 09:15, 09:15, 09:30, 09:30, 09:30, 10:15, 10:15, 10:16, 10:30, 10:30, 10:30, 11:15, 11:15, 11:16, 11:30, 11:30, 11:30, 12:15, 12:15, 12:16, 12:30, 12:30, 12:30, 13:15, 13:15, 13:16, 13:30, 13:30, 13:30, 14:15, 14:15, 14:16, 14:30, 14:30, 14:30, 15:00, 15:13, 15:15, 15:15, 15:30, 15:30, 15:30, 15:43, 16:00, 16:14, 16:16, 16:16, 16:30, 16:30, 16:30, 16:44, 17:00, 17:14, 17:16, 17:16, 17:30, 17:30, 17:30, 17:47, 18:00, 18:17, 18:17, 18:17, 18:30, 18:30, 18:30, 18:48, 19:19, 19:19, 19:19, 19:30, 19:30, 19:30, 20:19, 20:19, 20:19, 20:30, 20:30, 20:40, 21:19, 21:19, 21:19, 21:30, 21:30, 21:40, 22:20, 22:20, 22:20];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [6], [5], [6], [5], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [5], [0, 1, 2, 3, 4], [6], [6], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [6], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [6], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4]]
580X;Del Norte BART Station - San Rafael Express;[9426474, 9426473, 9426472];[06:05, 07:05, 08:05];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
172;Santa Rosa - San Francisco;[9426373, 9426374, 9426375, 9426376, 9426377, 9426378, 9426379, 9426380, 9426381, 9426382, 9426383, 9426384, 9426385, 9426386, 9426387, 9426388, 9426389, 9426390];[04:11, 04:41, 05:11, 05:41, 05:57, 06:14, 06:24, 06:37, 07:05, 14:08, 14:37, 15:07, 15:35, 16:05, 16:25, 16:46, 17:06, 17:36];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
172X;Santa Rosa - San Francisco Express;[];[];[]
704;Del Norte BART Station - San Francisco;[9426427];[04:20];[[0, 1, 2, 3, 4]]
101;Novato - San Francisco;[9426150, 9427500, 9425434, 9426194, 9426169, 9426107, 9426151, 9427519, 9425453, 9425435, 9427501, 9426193, 9426195, 9426170, 9426108, 9427482, 9425416, 9426186, 9426152, 9425415, 9427481, 9425454, 9427520, 9427502, 9425436, 9426126, 9426187, 9426171, 9426132, 9426109, 9427483, 9425417, 9426188, 9426153, 9426133, 9425411, 9427477, 9427521, 9425455, 9426127, 9425437, 9427503, 9426134, 9426189, 9426172, 9426110, 9427484, 9425418, 9426233, 9426154, 9425399, 9427465, 9426135, 9425456, 9427522, 9425438, 9427504, 9426175, 9426111, 9427485, 9425419, 9427466, 9425400, 9426136, 9427523, 9425457, 9427505, 9425439, 9426155, 9427486, 9425420, 9426112, 9427467, 9425401, 9426137, 9425458, 9426176, 9427524, 9426156, 9427506, 9425440, 9427487, 9425421, 9426113, 9427468, 9425402, 9426138, 9426177, 9427525, 9425459, 9425441, 9427507, 9426157, 9425422, 9427488, 9426114, 9427469, 9425403, 9426139, 9426178, 9427526, 9425460, 9425442, 9427508, 9426158, 9425423, 9427489, 9426115, 9425410, 9427476, 9426140, 9427509, 9425443, 9426179, 9425461, 9427527, 9426159, 9426116, 9427490, 9425424, 9426235, 9425404, 9427470, 9426128, 9425444, 9427510, 9427528, 9426180, 9425462, 9426160, 9426234, 9426117, 9425425, 9427491, 9426173, 9426192, 9426191, 9426129, 9425405, 9427471, 9425445, 9427511, 9425463, 9427529, 9426161, 9426147, 9426190, 9426118, 9427492, 9425426, 9426174, 9426148, 9426130, 9427472, 9425406, 9427512, 9425446, 9425464, 9427530, 9426162, 9426149, 9426119, 9427493, 9425427, 9426181, 9426232, 9427473, 9425407, 9426131, 9427513, 9425447, 9427531, 9425465, 9426163, 9425428, 9427494, 9426120, 9426182, 9425408, 9427474, 9426141, 9425466, 9427532, 9425448, 9427514, 9426164, 9425429, 9427495, 9426121, 9425409, 9427475, 9426142, 9427533, 9425467, 9426183, 9425449, 9427515, 9426165, 9426122, 9427496, 9425430, 9426143, 9427534, 9425468, 9426184, 9425413, 9427479, 9425450, 9427516, 9426166, 9426123, 9425431, 9427497, 9426185, 9427535, 9425469, 9425451, 9427517, 9426167, 9426144, 9427480, 9425414, 9426124, 9427498, 9425432, 9425452, 9427518, 9426168, 9426145, 9425412, 9427478, 9425433, 9427499, 9426125, 9426146, 9427570, 9425504];[04:52, 05:04, 05:04, 05:10, 05:32, 05:40, 06:00, 06:00, 06:00, 06:04, 06:04, 06:07, 06:15, 06:29, 06:37, 06:38, 06:38, 06:45, 06:50, 06:57, 06:57, 07:00, 07:00, 07:03, 07:03, 07:05, 07:15, 07:16, 07:16, 07:31, 07:32, 07:32, 07:45, 07:46, 07:46, 07:57, 07:57, 08:00, 08:00, 08:00, 08:03, 08:03, 08:15, 08:15, 08:19, 08:30, 08:32, 08:32, 08:45, 08:50, 08:57, 08:57, 09:00, 09:00, 09:00, 09:03, 09:03, 09:30, 09:30, 09:32, 09:32, 09:52, 09:52, 09:55, 10:00, 10:00, 10:03, 10:03, 10:03, 10:27, 10:27, 10:30, 10:52, 10:52, 10:55, 11:00, 11:00, 11:00, 11:03, 11:03, 11:03, 11:27, 11:27, 11:29, 11:51, 11:51, 11:53, 12:00, 12:00, 12:00, 12:01, 12:01, 12:03, 12:26, 12:26, 12:28, 12:51, 12:51, 12:53, 13:00, 13:00, 13:00, 13:01, 13:01, 13:03, 13:26, 13:26, 13:27, 13:51, 13:51, 13:57, 13:59, 13:59, 14:00, 14:00, 14:00, 14:03, 14:24, 14:26, 14:26, 14:45, 14:51, 14:51, 14:52, 14:58, 14:58, 15:00, 15:00, 15:00, 15:03, 15:15, 15:18, 15:26, 15:26, 15:33, 15:33, 15:45, 15:48, 15:51, 15:51, 15:58, 15:58, 16:00, 16:00, 16:03, 16:03, 16:15, 16:18, 16:26, 16:26, 16:33, 16:33, 16:48, 16:51, 16:51, 16:59, 16:59, 17:00, 17:00, 17:03, 17:04, 17:24, 17:27, 17:27, 17:33, 17:42, 17:52, 17:52, 17:57, 17:59, 17:59, 18:00, 18:00, 18:01, 18:29, 18:29, 18:29, 18:31, 18:56, 18:56, 18:58, 19:00, 19:00, 19:01, 19:01, 19:05, 19:32, 19:32, 19:34, 19:57, 19:57, 19:59, 20:00, 20:00, 20:00, 20:03, 20:03, 20:05, 20:34, 20:36, 20:36, 21:00, 21:00, 21:00, 21:00, 21:02, 21:02, 21:03, 21:03, 21:05, 21:35, 21:37, 21:37, 22:00, 22:00, 22:00, 22:03, 22:03, 22:05, 22:08, 22:08, 22:08, 22:40, 22:40, 22:40, 23:03, 23:03, 23:06, 23:10, 23:10, 23:10, 23:40, 23:40, 23:40, 24:40, 24:40, 24:40];[[0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [6], [5], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [5], [6], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [6], [5], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [6], [5], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [5], [6], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6]]
132;San Anselmo - San Francisco;[9426292, 9426291, 9426286, 9426287, 9426293, 9426288, 9426289, 9426290, 9426294, 9426295, 9426280, 9426282, 9426283, 9426284, 9426285, 9426281, 9426296];[05:05, 05:29, 05:55, 06:25, 06:50, 07:13, 07:38, 08:12, 08:44, 14:11, 15:11, 15:41, 16:10, 16:40, 17:10, 17:40, 18:10];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
154;Novato - San Francisco;[9426335, 9426340, 9426336, 9426337, 9426342, 9426338, 9426343, 9426344, 9426331, 9426339, 9426332, 9426333, 9426341, 9426334];[05:40, 06:07, 06:31, 06:47, 07:03, 07:19, 07:49, 15:01, 15:31, 16:01, 16:31, 16:51, 17:11, 17:31];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
