9N;RTA - Paso Robles / Cuesta College North / San Miguel;[71, 76, 80, 873, 84, 1691, 73, 79, 551, 85, 82, 87, 557, 1693, 22, 88, 89, 877, 187, 186, 1695, 24, 27, 554, 31];[06:33, 07:33, 08:33, 08:33, 09:33, 09:33, 10:33, 11:33, 11:33, 11:35, 12:33, 13:33, 13:33, 13:33, 14:33, 15:33, 16:33, 16:33, 17:15, 17:33, 17:33, 18:33, 19:33, 19:33, 20:33];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4]]
9S;RTA -  Cuesta College North / Paso Robles;[75, 77, 872, 13, 83, 1690, 72, 78, 550, 306, 86, 74, 556, 1692, 19, 69, 28, 876, 58, 1694, 21, 26, 552, 634, 188, 30];[06:01, 06:21, 06:56, 07:01, 07:55, 07:56, 08:55, 09:55, 10:10, 10:55, 11:51, 11:55, 11:56, 11:56, 12:55, 13:55, 14:55, 15:10, 15:55, 15:56, 16:55, 17:55, 17:56, 18:10, 18:26, 18:55];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
10N;RTA - Santa Maria / San Luis Obispo;[189, 190, 199, 282, 196, 292, 192, 201, 284, 198, 194, 286, 294, 203, 205, 210, 288, 215, 296, 207, 212, 290, 217];[06:05, 06:10, 07:10, 07:10, 08:10, 08:10, 09:10, 10:10, 10:10, 11:10, 12:10, 12:10, 12:10, 13:10, 14:10, 15:10, 15:10, 16:10, 16:10, 17:10, 18:10, 18:10, 19:10];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4]]
10S;RTA - San Luis Obispo / Santa Maria;[224, 195, 191, 45, 200, 68, 197, 193, 64, 202, 204, 65, 90, 209, 214, 206, 66, 211, 226, 91, 305, 208, 67, 213, 218];[06:03, 06:33, 07:33, 08:33, 08:33, 09:33, 09:33, 10:33, 11:33, 11:33, 12:33, 13:33, 13:33, 13:33, 14:33, 15:33, 16:33, 16:33, 17:15, 17:33, 17:33, 18:33, 19:33, 19:33, 20:33];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
12N;RTA - San Luis Obispo / Morro Bay / Los Osos;[698, 692, 700, 891, 694, 1703, 702, 696, 893, 1705, 704, 706, 895, 1707, 715, 708, 1709, 717, 897, 710, 1711, 719, 713, 899, 720];[06:33, 07:33, 08:33, 08:33, 09:33, 09:33, 10:33, 11:33, 11:33, 11:50, 12:33, 13:33, 13:33, 13:33, 14:33, 15:33, 15:50, 16:33, 16:33, 17:33, 17:33, 18:33, 19:33, 19:33, 20:33];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4]]
12S;RTA - Los Osos / Morro Bay / San Luis Obispo;[35, 699, 890, 693, 1702, 701, 695, 1704, 892, 703, 697, 1706, 894, 705, 52, 1708, 716, 896, 709, 1710, 718, 711, 898, 712, 714, 721];[06:10, 07:07, 07:30, 08:07, 08:30, 09:07, 10:07, 10:08, 10:30, 11:07, 12:07, 12:25, 12:30, 13:07, 14:07, 14:08, 15:07, 15:30, 16:07, 16:25, 17:07, 18:07, 18:30, 19:07, 20:07, 21:07];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
14N;RTA - Government Center / CalPoly / Cuesta College;[2];[07:30];[[0, 1, 2, 3, 4]]
15N;RTA - Morro Bay / San Simeon;[53, 1004, 901, 1006, 1713, 55, 903, 905, 1715, 1010, 907, 1012, 1717, 909];[05:21, 07:00, 09:00, 10:00, 10:00, 12:00, 12:00, 14:00, 14:00, 15:00, 17:00, 18:00, 18:00, 20:00];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [5]]
15S;RTA - San Simeon / Morro Bay;[54, 900, 1005, 1712, 902, 1007, 904, 1714, 1009, 906, 1716, 1011, 908, 56];[06:00, 07:05, 07:50, 08:05, 10:00, 10:50, 12:00, 12:00, 13:50, 15:00, 16:00, 16:50, 18:00, 18:50];[[0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4]]
21;SCT - Pismo Beach / Shell Beach / Grover Beach / Oceano / Arroyo Grande;[558, 559, 781, 1524, 560, 782, 1525, 38, 783, 1526, 227, 784, 1527, 563, 785, 1528, 564, 786, 1529, 565, 787, 1530, 566, 788, 1531, 137, 789, 1532, 138, 790, 1533, 569, 791, 1534, 570, 792, 1535, 571, 793];[06:29, 07:05, 07:29, 07:29, 08:05, 08:05, 08:05, 09:05, 09:05, 09:05, 10:05, 10:05, 10:05, 11:05, 11:05, 11:05, 12:05, 12:05, 12:05, 13:05, 13:05, 13:05, 14:05, 14:05, 14:05, 15:05, 15:05, 15:05, 16:05, 16:05, 16:05, 17:05, 17:05, 17:05, 18:05, 18:05, 18:05, 19:05, 19:05];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5]]
