125;Fort-Eureka;[2782020, 1032020, 1068020, 1102020, 3244070, 3218070, 576020, 2430010, 2085020, 389010, 2695020, 1823070, 555020, 2630070, 2587020, 2615010, 885020, 2149010, 2836020, 27070, 679020, 2821070, 2315020, 1896010, 927020, 1721010, 1953020, 157070, 758020, 1340070, 1333020, 242010, 3138020, 2449010, 781020, 935070, 874020, 2761070, 1202020, 322010, 754020, 580010, 341020, 2581070, 1011020, 1267070, 480020, 2397010, 1540020, 3174020, 331010, 1066070, 1935020, 2529070, 2290020, 1666010, 2713020, 94010, 934020, 441020, 1514070, 3262070, 107020, 2346010, 1128020, 58010, 755020, 556070, 1765020, 1046020, 1824070, 2416010, 2600020, 2295010, 1221020, 344070, 3191020, 2728070, 2868020, 2743010, 2498020, 3284010, 1629020, 2814070, 2072020, 944070, 418020, 827010, 541020, 395010, 1019020, 461070, 41020, 832070, 1439020, 3052010, 2398020, 2791010, 26020, 2577070, 369020, 2770070, 2726020, 2016010, 737020, 2139010, 1867020, 3402020, 1444070, 2802070, 1216020, 1905010, 2278020, 657010, 728020, 485020, 720070, 534070, 1764020, 714010, 1265020, 990010, 1022020, 2523020, 2168070, 553070, 2233020, 2741010, 730020, 1722010, 621020, 2811020, 120070, 1233070, 1299020, 1581020, 3335020, 733020, 519070, 2757070];[05:00, 05:11, 05:30, 05:41, 05:41, 05:51, 06:00, 06:10, 06:11, 06:15, 06:30, 06:30, 06:41, 06:51, 07:00, 07:05, 07:11, 07:26, 07:30, 07:37, 07:41, 07:44, 08:01, 08:01, 08:11, 08:21, 08:30, 08:38, 08:41, 08:49, 08:56, 09:02, 09:11, 09:16, 09:29, 09:40, 09:41, 09:51, 09:52, 10:06, 10:11, 10:16, 10:27, 10:36, 10:41, 10:51, 10:56, 10:59, 11:11, 11:22, 11:25, 11:38, 11:41, 11:51, 11:59, 12:07, 12:11, 12:18, 12:28, 12:41, 12:42, 12:51, 12:58, 12:59, 13:11, 13:20, 13:28, 13:35, 13:41, 13:49, 13:51, 14:07, 14:11, 14:14, 14:23, 14:40, 14:41, 14:51, 14:57, 15:01, 15:11, 15:17, 15:27, 15:40, 15:41, 15:51, 15:56, 16:04, 16:11, 16:17, 16:26, 16:40, 16:41, 16:51, 16:56, 17:09, 17:11, 17:17, 17:27, 17:35, 17:41, 17:51, 17:59, 18:05, 18:11, 18:21, 18:29, 18:41, 18:41, 18:46, 18:59, 19:04, 19:11, 19:17, 19:30, 19:41, 19:41, 19:51, 20:02, 20:04, 20:11, 20:14, 20:32, 20:41, 20:42, 20:51, 21:05, 21:07, 21:11, 21:14, 21:35, 21:41, 21:43, 21:51, 22:05, 22:11, 22:41, 22:50, 22:51, 22:58];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5]]
140;Southshore;[3256020, 2516020, 323020, 2140020, 2305020, 1586020, 464020, 3084020, 2490020, 1776020, 649020, 3238020, 2646020, 1742020, 3409020, 1926020, 61020, 2610020, 1626020, 1346020, 648020, 2074020, 503020, 392020, 967020, 873020, 2751020, 137020, 267020, 2237020, 2594020, 301020];[05:56, 06:31, 06:54, 07:33, 07:54, 08:50, 08:54, 09:52, 09:52, 10:49, 10:53, 11:49, 11:52, 12:48, 12:52, 13:48, 13:52, 14:51, 14:56, 15:45, 15:51, 16:47, 16:53, 17:50, 17:55, 18:52, 18:57, 19:52, 19:54, 20:53, 20:54, 21:54];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
160;Downriver;[2752020, 2510020, 575020, 397020, 921020, 716020, 929070, 1380070, 2480020, 1960020, 3308070, 2890070, 2476020, 2730070, 347020, 1195070, 2111020, 1023070, 1571020, 2378070, 1515020, 1747070, 2435020, 306020, 124070, 72070, 939020, 1141020, 930070, 505020, 2070, 2607020, 1260070, 2347020, 2736070, 3106020, 196070, 1230020, 1841070, 3015020, 2934070, 2213020, 1545020, 516020, 262020, 2555020, 2462020, 2323020];[05:58, 06:24, 06:58, 07:24, 07:58, 08:26, 08:30, 09:06, 09:11, 09:25, 09:30, 10:06, 10:11, 10:30, 10:35, 11:03, 11:10, 11:30, 11:35, 12:04, 12:10, 12:30, 12:35, 13:06, 13:14, 13:30, 13:33, 14:03, 14:20, 14:31, 14:40, 15:06, 15:18, 15:31, 15:40, 16:00, 16:16, 16:31, 16:45, 17:13, 17:19, 17:31, 18:09, 18:36, 19:13, 19:36, 20:11, 20:37];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
200;Michigan Local;[1169020, 2173070, 2745010, 455020, 1846020, 1650070, 2235010, 247010, 1741070, 1494020, 1542020, 2281070, 2842010, 111020, 2774070, 2273010, 2200020, 231020, 2285070, 2254010, 2531020, 2043010, 1464070, 444020, 1394020, 3098070, 2806010, 1366070, 1389010, 2268020, 539020, 235070, 1130010, 1408020, 2975070, 215010, 2013020, 430020, 2153070, 1658010, 1717020, 2084070, 756010, 1720020, 118020, 2401070, 2178010, 3282010, 2294070, 2972020, 492020, 3081070, 1971010, 2503020, 726070, 3263010, 293020, 1361020, 2039070, 2304010, 476020, 744070, 500010];[04:55, 05:13, 05:15, 05:55, 06:25, 06:36, 06:41, 07:15, 07:15, 07:21, 07:55, 08:32, 08:34, 08:49, 09:15, 09:15, 09:25, 10:19, 10:33, 10:34, 10:55, 11:15, 11:15, 11:48, 12:25, 12:34, 12:35, 13:15, 13:15, 13:18, 13:55, 14:34, 14:35, 14:48, 15:15, 15:15, 15:25, 16:22, 16:35, 16:36, 16:55, 17:14, 17:15, 17:52, 18:25, 18:33, 18:36, 19:15, 19:15, 19:22, 19:55, 20:33, 20:36, 20:52, 21:15, 21:15, 21:25, 22:24, 22:33, 22:38, 22:55, 23:15, 23:15];[[0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6]]
210;Michigan Local;[1319020, 1313070, 1933020, 2579070, 2417010, 182020, 416070, 1337010, 1034020, 1842020, 2672070, 2965010, 630020, 3032010, 661070, 2493020, 3295020, 2407070, 1511010, 1904020, 2919070, 2723010, 2649020, 1199070, 240010, 692020, 1282020, 1837070, 155010, 487020, 1913070, 2182010, 2777020, 1644070, 691010, 1368020, 3229020, 1939070, 3278010, 1409020, 3220070, 2561010, 1156020, 1864070, 327010, 2142020, 1681010, 1705070, 1323020, 951020, 2734070, 2180010, 183020, 3039010, 2877070, 2408020, 2334070, 254020, 3376010, 2018020, 3353070, 2354010, 3167020, 1809020, 2786070, 501020, 895020];[04:10, 04:31, 04:53, 05:24, 05:28, 05:40, 06:15, 06:15, 06:23, 07:10, 07:22, 07:24, 07:47, 08:15, 08:15, 08:40, 09:17, 09:20, 09:21, 10:10, 10:15, 10:15, 10:47, 11:21, 11:22, 11:40, 12:14, 12:15, 12:15, 13:10, 13:21, 13:22, 13:44, 14:15, 14:15, 14:40, 15:14, 15:21, 15:22, 16:10, 16:13, 16:15, 16:46, 17:20, 17:22, 17:40, 18:14, 18:14, 18:16, 19:10, 19:21, 19:23, 19:46, 20:15, 20:15, 20:40, 21:16, 21:16, 21:22, 22:10, 22:15, 22:15, 22:51, 23:11, 23:20, 23:40, 24:42];[[0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
250;Ford Road;[2998020, 2465020, 2100020, 2671020, 1726020, 2026020, 1085020, 454020, 865020, 1035020, 2242020, 770020, 1786020, 102020, 1778020, 3321020, 2601020, 134020, 2119020, 2573020, 264020, 2144020, 1946020, 824020, 1007020, 3082020, 2266020, 3365020, 1683020, 3123020, 789020, 806020, 271020, 434020];[05:52, 05:56, 06:47, 06:54, 07:50, 08:12, 08:51, 09:08, 09:50, 10:06, 10:50, 11:07, 11:53, 12:06, 12:53, 13:04, 13:53, 14:04, 14:53, 15:01, 16:01, 16:03, 16:52, 17:07, 17:52, 18:13, 18:49, 19:13, 19:48, 20:13, 20:48, 21:05, 21:48, 22:43];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
255;Ford Road Express;[370020, 2923020, 1044020, 2694020];[05:56, 06:23, 15:40, 16:40];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
261;FAST Michigan;[2856070, 1210020, 2457070, 1547020, 3221070, 30020, 635020, 133070, 2391010, 2195070, 55020, 475020, 2939070, 3268010, 1692010, 3053020, 805020, 428070, 2110070, 2524010, 776010, 1992020, 1386020, 999070, 359020, 1839010, 1219070, 2433010, 1899020, 582020, 659070, 1504020, 1453010, 1521020, 406070, 1178010, 1550020, 1168020, 520070, 528010, 2399020, 3236020, 1073010, 420070, 1105020, 1078020, 248070, 3362010, 945020, 3323020, 2061010, 680020, 517070, 862020, 933020, 654070, 1579010, 1457010, 2082020, 931020, 1198070, 472070, 2047020, 1911020, 2927010, 3108020, 2321010, 2208020, 1732070, 1923070, 438020, 46010, 663020, 453020, 1423010, 1172020, 2137070, 462020, 20070, 74020, 1508010, 2801020, 981010, 969020, 138070, 2718020, 3272070, 504020, 3250010, 1326020, 283010, 3153020, 3216070, 295020, 3341070, 3279020, 1567010, 3283010, 2528070, 3203020, 815020, 2068020, 1524010, 44010, 2036020, 952070, 1163070, 2929020, 631020, 285010, 2841010, 3406070, 1770070, 1872020, 2619020, 2194020, 2535010, 3074010, 559070, 2176070, 712020, 2592020, 2229010, 209070, 1949020, 856020, 3188010, 3209070, 2164020, 1098020, 2155070, 804010, 1277020, 443020, 2454010, 1367020, 3368070, 2050020, 828070, 114010, 1080020, 971020, 1017010, 1687020, 1318070, 1441020, 912070, 2382020, 2843070];[04:53, 04:55, 04:55, 04:58, 05:28, 05:30, 05:43, 05:47, 05:55, 06:23, 06:25, 06:29, 06:32, 06:33, 06:40, 07:07, 07:09, 07:11, 07:15, 07:17, 07:18, 07:37, 07:46, 07:53, 08:01, 08:03, 08:14, 08:15, 08:18, 08:30, 08:34, 08:41, 08:43, 09:07, 09:13, 09:15, 09:17, 09:31, 09:40, 09:42, 09:45, 09:59, 10:04, 10:09, 10:12, 10:29, 10:40, 10:41, 10:47, 10:59, 11:04, 11:09, 11:11, 11:29, 11:39, 11:41, 11:41, 12:05, 12:06, 12:09, 12:10, 12:30, 12:31, 12:38, 12:41, 12:59, 13:05, 13:08, 13:10, 13:32, 13:34, 13:41, 13:46, 13:59, 14:05, 14:10, 14:12, 14:29, 14:32, 14:38, 14:41, 15:01, 15:06, 15:08, 15:13, 15:29, 15:34, 15:38, 15:41, 15:59, 16:05, 16:08, 16:11, 16:29, 16:34, 16:38, 16:41, 16:43, 16:46, 17:02, 17:04, 17:23, 17:28, 17:31, 17:33, 17:34, 17:44, 17:48, 18:05, 18:11, 18:14, 18:17, 18:25, 18:28, 18:41, 18:57, 19:02, 19:05, 19:06, 19:14, 19:16, 19:26, 19:41, 19:42, 19:49, 19:59, 20:05, 20:14, 20:26, 20:29, 20:41, 20:42, 20:49, 20:58, 21:16, 21:19, 21:26, 21:40, 21:41, 21:41, 21:49, 21:58, 22:16, 22:19, 22:26, 22:28, 22:41, 22:49, 23:16];[[5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [6], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [6], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [6], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [6], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5]]
275;Telegraph South;[1052020, 2014020, 2776020, 2700020, 151070, 747020, 796020, 1222070, 1787070, 2171020, 1006020, 669070, 1918020, 2388020, 1773070, 3090020, 1174020, 9070, 1575070, 1811020, 624020, 759070, 1411020, 3378020, 572070, 601020, 3189020, 1576070, 326020, 2059020, 393070, 1929020, 1994070, 514020, 2271070, 1607020, 2410020, 2699070, 419020, 174020, 2976070, 1861070, 67020, 1510020, 898070, 1543070, 1682020, 2101020, 349070, 2114020, 1103020, 2099070, 3050020, 875020, 2881070, 1719020, 3211020, 1245070, 842020, 1734020, 835070, 2389070, 2962020, 2979020, 3312070, 50020, 95070, 3298070, 569020, 2372070, 3204020, 2719070, 3293020, 1490020, 2487070, 1256020, 2631020, 2243020];[05:36, 05:40, 06:17, 06:20, 06:31, 06:57, 07:01, 07:07, 07:34, 07:37, 07:41, 08:04, 08:17, 08:21, 08:34, 08:57, 09:00, 09:06, 09:34, 09:37, 09:41, 10:09, 10:16, 10:21, 10:34, 10:55, 11:01, 11:21, 11:30, 11:41, 11:44, 12:14, 12:16, 12:21, 12:44, 12:51, 13:01, 13:09, 13:29, 13:40, 13:40, 13:41, 14:11, 14:21, 14:27, 14:40, 14:53, 15:01, 15:20, 15:33, 15:41, 15:56, 16:13, 16:21, 16:29, 16:53, 17:03, 17:11, 17:33, 17:41, 17:41, 18:03, 18:21, 18:32, 18:38, 19:11, 19:16, 19:37, 19:37, 20:09, 20:11, 20:35, 20:52, 21:02, 21:04, 21:52, 22:16, 22:41];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
280;Western Wayne Crosstown;[21020, 798070, 3030010, 310020, 1379010, 1257070, 3267020, 2792010, 551070, 1115020, 2589020, 477010, 568070, 2423010, 2400070, 113020, 529020, 1352070, 2201010, 432010, 2453070, 145020, 2109020, 2688010, 609020, 2409010, 3136070, 535070, 1588020, 1154020, 2086010, 3132020, 1990070, 1937010, 1761070, 1983020, 871020, 2370010, 1138010, 2779070, 1880070, 2029020, 723020, 655010, 1176010, 2514070, 612070, 605020, 2087020, 176010, 13070, 760010, 3275020, 2537070, 368020, 216010, 545020, 1642070, 2344020, 1560070, 686010, 1091020, 2218070, 1955010, 578070, 3059010, 3235020, 1152020, 186020, 1689070, 3162010, 880070, 2404010, 1870020, 2515020, 3194020, 1087070, 3314010, 2353070, 2373010, 1900020, 3063020, 2246010, 963070, 917020, 2624070, 2156020, 1769020, 1962070, 330070, 1866020, 757070];[04:46, 05:00, 05:00, 05:46, 06:00, 06:00, 06:00, 06:08, 06:11, 06:46, 07:00, 07:14, 07:15, 07:15, 07:23, 07:46, 08:00, 08:26, 08:26, 08:31, 08:38, 08:46, 09:00, 09:42, 09:46, 09:52, 09:52, 09:55, 10:00, 10:46, 11:00, 11:00, 11:04, 11:08, 11:10, 11:48, 11:58, 12:17, 12:20, 12:24, 12:26, 12:46, 13:00, 13:21, 13:31, 13:34, 13:35, 13:43, 14:00, 14:35, 14:39, 14:43, 14:45, 14:54, 15:00, 15:49, 15:50, 15:59, 16:00, 16:03, 16:07, 16:48, 17:10, 17:13, 17:16, 17:20, 17:23, 17:46, 18:00, 18:26, 18:27, 18:38, 18:40, 18:48, 19:00, 19:45, 19:45, 19:45, 19:53, 19:55, 20:00, 20:41, 21:00, 21:00, 21:05, 21:08, 21:42, 22:00, 22:15, 22:19, 23:00, 23:30];[[0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [6], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [6], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [6], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [6], [5], [6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [5]]
