1;witham hill/osu;[921, 922, 4, 923, 61, 924, 17, 62, 925, 18, 74, 926, 19, 75, 927, 20, 76, 928, 21, 77, 929, 22, 78, 930, 23, 79, 931, 24, 80, 932, 81, 933, 934, 935];[06:00, 07:00, 08:00, 08:00, 09:00, 09:00, 10:00, 10:00, 10:00, 11:00, 11:00, 11:00, 12:00, 12:00, 12:00, 13:00, 13:00, 13:00, 14:00, 14:00, 14:00, 15:00, 15:00, 15:00, 16:00, 16:00, 16:00, 17:00, 17:00, 17:00, 18:00, 18:00, 19:00, 20:00];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
2;9th st/hospital;[1, 218, 3, 40, 220, 248, 6, 42, 222, 250, 8, 58, 224, 252, 10, 94, 201, 226, 254, 12, 96, 203, 228, 313, 14, 98, 205, 230, 315, 16, 100, 207, 232, 317, 26, 179, 209, 234, 335, 28, 181, 211, 236, 337, 30, 183, 213, 238, 416, 32, 185, 215, 240, 418, 34, 187, 242, 36, 244, 38, 246];[06:15, 06:45, 07:15, 07:15, 07:45, 07:45, 08:15, 08:15, 08:45, 08:45, 09:15, 09:15, 09:45, 09:45, 10:15, 10:15, 10:15, 10:45, 10:45, 11:15, 11:15, 11:15, 11:45, 11:45, 12:15, 12:15, 12:15, 12:45, 12:45, 13:15, 13:15, 13:15, 13:45, 13:45, 14:15, 14:15, 14:15, 14:45, 14:45, 15:15, 15:15, 15:15, 15:45, 15:45, 16:15, 16:15, 16:15, 16:45, 16:45, 17:15, 17:15, 17:15, 17:45, 17:45, 18:15, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
3;philo blvd/49th st/osu;[578, 421, 580, 423, 515, 582, 611, 425, 517, 584, 613, 450, 519, 588, 615, 462, 521, 668, 590, 617, 464, 523, 670, 592, 619, 466, 525, 672, 594, 621, 468, 527, 674, 596, 623, 470, 529, 676, 598, 625, 472, 531, 678, 600, 627, 474, 533, 680, 602, 629, 476, 576, 682, 604, 663, 478, 606, 480, 608, 514];[06:15, 06:45, 07:15, 07:45, 07:45, 08:15, 08:15, 08:45, 08:45, 09:15, 09:15, 09:45, 09:45, 10:15, 10:15, 10:45, 10:45, 10:45, 11:15, 11:15, 11:45, 11:45, 11:45, 12:15, 12:15, 12:45, 12:45, 12:45, 13:15, 13:15, 13:45, 13:45, 13:45, 14:15, 14:15, 14:45, 14:45, 14:45, 15:15, 15:15, 15:45, 15:45, 15:45, 16:15, 16:15, 16:45, 16:45, 16:45, 17:15, 17:15, 17:45, 17:45, 17:45, 18:15, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
4;5th st/highland/conifer/hospital;[1124, 190, 1125, 191, 1126, 192, 1127, 67, 193, 1128, 68, 194, 1129, 69, 195, 1130, 70, 196, 1131, 71, 197, 1132, 72, 198, 1133, 73, 199, 1134, 84, 200, 1135, 1136, 1137];[06:30, 07:30, 07:30, 08:30, 08:30, 09:30, 09:30, 10:30, 10:30, 10:30, 11:30, 11:30, 11:30, 12:30, 12:30, 12:30, 13:30, 13:30, 13:30, 14:30, 14:30, 14:30, 15:30, 15:30, 15:30, 16:30, 16:30, 16:30, 17:30, 17:30, 17:30, 18:30, 19:30];[[0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [6], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
5;osu/kings/timberhill shop ctr;[420, 579, 422, 581, 610, 424, 516, 583, 612, 426, 518, 587, 614, 451, 520, 667, 589, 616, 463, 522, 669, 591, 618, 465, 524, 671, 593, 620, 467, 526, 673, 595, 622, 469, 528, 675, 597, 624, 471, 530, 677, 599, 626, 473, 532, 679, 601, 628, 475, 575, 681, 603, 630, 477, 577, 605, 664, 479, 665, 607, 666, 481, 609];[06:15, 06:45, 07:15, 07:45, 07:45, 08:15, 08:15, 08:45, 08:45, 09:15, 09:15, 09:45, 09:45, 10:15, 10:15, 10:15, 10:45, 10:45, 11:15, 11:15, 11:15, 11:45, 11:45, 12:15, 12:15, 12:15, 12:45, 12:45, 13:15, 13:15, 13:15, 13:45, 13:45, 14:15, 14:15, 14:15, 14:45, 14:45, 15:15, 15:15, 15:15, 15:45, 15:45, 16:15, 16:15, 16:15, 16:45, 16:45, 17:15, 17:15, 17:15, 17:45, 17:45, 18:15, 18:15, 18:45, 18:45, 19:15, 19:15, 19:45, 19:45, 20:15, 20:45];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
6;south corvallis/western/osu;[217, 2, 219, 247, 5, 41, 221, 249, 7, 57, 223, 251, 9, 59, 225, 253, 11, 95, 202, 227, 255, 13, 97, 204, 229, 314, 15, 99, 206, 231, 316, 25, 101, 208, 233, 334, 27, 180, 210, 235, 336, 29, 182, 212, 237, 338, 31, 184, 214, 239, 417, 33, 186, 216, 241, 419, 35, 188, 189, 243, 37, 245, 39];[06:15, 06:45, 07:15, 07:15, 07:45, 07:45, 08:15, 08:15, 08:45, 08:45, 09:15, 09:15, 09:45, 09:45, 10:15, 10:15, 10:45, 10:45, 10:45, 11:15, 11:15, 11:45, 11:45, 11:45, 12:15, 12:15, 12:45, 12:45, 12:45, 13:15, 13:15, 13:45, 13:45, 13:45, 14:15, 14:15, 14:45, 14:45, 14:45, 15:15, 15:15, 15:45, 15:45, 15:45, 16:15, 16:15, 16:45, 16:45, 16:45, 17:15, 17:15, 17:45, 17:45, 17:45, 18:15, 18:15, 18:45, 18:45, 19:15, 19:15, 19:45, 20:15, 20:45];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [6], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
7;osu/29th/circle/hp;[286, 287, 301, 288, 302, 289, 303, 290, 304, 291, 305, 292, 306, 293, 307, 294, 308, 295, 309, 296, 310, 297, 311, 298, 312, 299, 300];[06:30, 07:30, 07:30, 08:30, 08:30, 09:30, 09:30, 10:30, 10:30, 11:30, 11:30, 12:30, 12:30, 13:30, 13:30, 14:30, 14:30, 15:30, 15:30, 16:30, 16:30, 17:30, 17:30, 18:30, 18:30, 19:30, 20:30];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
8;osu/35th/research way/grand oaks;[1302, 683, 262, 684, 685, 696, 686, 697, 687, 698, 688, 699, 689, 700, 690, 701, 691, 702, 703, 1312, 692, 704, 693, 705, 694, 695];[06:00, 07:00, 08:00, 08:00, 09:00, 09:00, 10:00, 10:00, 11:00, 11:00, 12:00, 12:00, 13:00, 13:00, 14:00, 14:00, 15:00, 15:00, 16:00, 16:00, 17:00, 17:00, 18:00, 18:00, 19:00, 20:00];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
9;5th/buchanan/grant/witham hill;[];[];[]
50;kings/chs/highland/cvhs;[706, 707];[07:25, 15:00];[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
