stop_id,stop_name,stop_lat,stop_lon
162,MAIN ST AT ADAMS AVE,39.395538,-74.519212
163,MAIN ST AT DELILAH RD,39.405069,-74.510613
164,MAIN ST AT DELILAH RD,39.404748,-74.511040
165,MAIN ST AT BAYVIEW AVE,39.386739,-74.526992
166,MAIN ST AT CEDARCREST AVE,39.409949,-74.506393
167,MAIN ST AT DECATUR AVE,39.388969,-74.524952
168,MAIN ST AT DECATUR AVE,39.389008,-74.525101
169,MAIN ST AT E. GLENDALE AVE,39.381749,-74.531390
170,MAIN ST AT E. GREENFIELD AVE,39.384538,-74.528890
171,MAIN ST AT PLEASANT AVE,39.393768,-74.520792
172,MAIN ST AT READING AVE,39.400849,-74.514431
173,MAIN ST AT REDWOOD AVE,39.412180,-74.504621
174,MAIN ST AT RIDGEWOOD AVE,39.377849,-74.536030
176,MAIN ST AT THOMPSON AVE,39.406008,-74.509763
177,MAIN ST AT THOMPSON AVE,39.405850,-74.510041
178,MAIN ST AT TILTON RD,39.378820,-74.534983
179,MAIN ST AT WOODLAND AVE,39.396387,-74.518473
180,MAIN ST AT CALIFORNIA AVE,39.413388,-74.503852
181,W JERSEY AVE AT MAIN ST,39.390759,-74.522971
182,MAIN ST AT RIDGEWOOD AVE,39.377997,-74.535983
183,MAIN ST AT ASHLAND AVE,39.378967,-74.534670
184,MAIN ST 200'N OF PLEASANT AVE,39.393979,-74.520500
185,MAIN ST AT MULBERRY AVE,39.399218,-74.515823
186,MAIN ST AT REDWOOD AVE,39.412267,-74.504681
187,MAIN ST AT LEEDS AVE,39.407850,-74.508281
188,MAIN ST AT BRIGHTON AVE,39.400188,-74.515023
189,MAIN ST AT MULBERRY AVE,39.398739,-74.516332
190,MAIN ST AT E. GREENFIELD AVE,39.384728,-74.528850
191,MAIN ST AT E. GLENDALE AVE,39.381530,-74.531693
192,MAIN ST AT BAYVIEW AVE,39.386399,-74.527242
193,MAIN ST AT ADAMS AVE,39.395319,-74.519252
194,MAIN ST AT E. MERION AVE,39.397270,-74.517571
195,MAIN ST AT READING AVE,39.401630,-74.513660
196,MAIN ST AT STENTON PL,39.402698,-74.512711
197,MAIN ST AT LEEDS AVE,39.408099,-74.507900
198,MAIN ST AT CEDARCREST AVE,39.410108,-74.506112
199,NEW RD AT PARK AVE,39.387068,-74.537461
200,NEW RD AT PARK AVE,39.386958,-74.537511
201,NEW RD AT NOAHS RD,39.388959,-74.535082
203,NEW RD AT TILTON RD,39.383599,-74.542464
204,NEW RD AT TILTON RD,39.383618,-74.542272
205,W JERSEY AVE AT MAIN ST,39.390589,-74.522791
207,CALIFORNIA AVE AT NEW RD,39.414720,-74.512041
209,SHORE RD AT CALIFORNIA AVE,39.413648,-74.503790
210,NEW RD AT NEW JERSEY AVE,39.429279,-74.504943
211,WYOMING AVE AT PITNEY RD,39.432227,-74.498583
212,WHITE HORSE PIKE AT STATION AVE,39.423730,-74.500402
215,STOCKTON UNIVERSITY,39.493379,-74.528370
216,RT-9 AT QUAIL HILL BLVD,39.490650,-74.458313
217,SHORE RD AT COVE RD,39.361709,-74.555753
218,SHORE RD AT DOLPHIN AVE,39.376359,-74.537871
219,SHORE RD AT DOLPHIN AVE,39.376200,-74.538212
220,SHORE RD AT FRANKLIN AVE,39.375000,-74.539672
221,SHORE RD AT GOLFVIEW DR,39.368269,-74.547763
222,SHORE RD AT JACKSON AVE,39.372328,-74.542791
223,SHORE RD AT JACKSON AVE,39.372180,-74.543121
224,SHORE RD AT MT. VERNON AVE,39.370519,-74.544952
225,SHORE & TILTON RDS,39.358868,-74.559223
226,SHORE RD AT OAKCREST AVE,39.358958,-74.559261
227,SHORE RD AT PUTTING GREEN RD,39.373608,-74.541313
228,SHORE RD AT RIDGEWOOD DR,39.360668,-74.557162
229,SHORE RD AT SURREY AVE,39.363249,-74.553892
231,SHORE RD AT ZION AVE,39.369988,-74.545791
232,SHORE RD AT PUTTING GREEN RD,39.373739,-74.541061
233,SHORE RD AT FIFIELD AVE,39.368379,-74.547752
234,NEW RD AT TILTON RD,39.374438,-74.554361
235,NEW RD AT NORTHFIELD AVE,39.372489,-74.556271
236,NEW RD AT MILL RD,39.368968,-74.560162
237,NEW RD AT CEDAR BRIDGE RD,39.366518,-74.562542
238,NEW RD AT RIDGEWOOD DR,39.363268,-74.564663
