stop_id,stop_name,stop_lat,stop_lon
1,Bellingham Station,48.750390,-122.475612
3,Bellingham Technical College,48.764887,-122.510672
4,Bakerview Rd at Fred Meyer,48.789614,-122.510958
6,Cornwall Ave at E St,48.762272,-122.475200
7,Northwest Ave at Birchwood Center,48.774864,-122.496390
8,Cornwall Ave at Texas St,48.761585,-122.474951
9,Bakerview Rd at Costco,48.789824,-122.513634
10,Northwest Ave at Birchwood Center,48.775205,-122.496971
11,Holly St at J St,48.757033,-122.490472
13,James St at Alabama St,48.762065,-122.465053
14,Viking Union,48.738656,-122.485570
15,Harris Ave at 21st St,48.720211,-122.491207
16,12th St at McKenzie Ave,48.719110,-122.502077
17,24th St at Donovan Ave,48.717717,-122.486130
18,Haggard Hall,48.737798,-122.486609
19,Meridian St at Illinois St,48.767281,-122.485953
20,Meridian St at Illinois St,48.767029,-122.486208
21,Kellogg Rd at Meridian St,48.795078,-122.488280
22,Meadowbrook Ct at Tremont Ave,48.809681,-122.500110
23,Horton Rd at Pacific Rim Way,48.804361,-122.500941
24,Grover St at 4th St,48.944293,-122.452187
25,Lynden Station,48.938404,-122.482260
26,Guide Meridian at Pole Rd,48.890789,-122.485730
28,Grover St at 4th St,48.943916,-122.452700
29,Meridian St at Walmart,48.801399,-122.485790
32,Homestead Blvd at Depot Rd,48.959690,-122.450876
33,Meridian St at Stuart Rd,48.799221,-122.486190
34,Northwest Dr at Smith Rd,48.833159,-122.540623
35,Ferndale Station Gate 1,48.847126,-122.571690
36,Mountain View Rd at Meadowview Ct,48.848515,-122.615835
37,Thornton Rd at Vista Dr,48.862773,-122.603886
38,Northwest Dr at Smith Rd,48.832481,-122.540340
39,Ferndale Station Gate 2,48.847279,-122.571550
40,Ferndale Station Gate 3,48.847416,-122.571370
41,Lakeway Dr at Lincoln St,48.744846,-122.461030
45,Lincoln St at Lakeway Dr,48.743614,-122.462440
46,Lincoln St at Lakeway Dr,48.743202,-122.462970
47,Samish Way at Ridgemont Way,48.727124,-122.471819
48,Samish Way at Yew St,48.706428,-122.445413
49,Yew St at Old Lakeway Dr,48.744006,-122.442432
50,Lakeway Dr at Lincoln St,48.745090,-122.461950
52,Bakerview Rd at James St,48.789513,-122.463663
53,Bakerview Rd at James St,48.789383,-122.464610
55,Sunset Dr at Sunset Square,48.772780,-122.459156
56,Sunset Dr at Sunset Square,48.772781,-122.458520
